,panel,xm,ym,ds,Qy,Qx,qs
561,lower,0.15774760399999999,-0.00246580558,0.0005929830000000191,-4.02923004170302e-06,4.0733756703807245e-07,1274.4235206547332
562,lower,0.1583404315,-0.0024807121799999996,0.000593045999999986,-3.9910685151698115e-06,3.9819502627819237e-07,1248.5635313165708
563,lower,0.1589333175,-0.0024957784050000003,0.0005931090000000083,-3.9525512886685135e-06,3.890425783814111e-07,1222.6590182558446
564,lower,0.15952626250000002,-0.0025110057350000003,0.0005931720000000029,-3.913678252498343e-06,3.798801258864096e-07,1196.7097213960392
565,lower,0.160119267,-0.002526395635,0.000593235999999997,-3.874449230523571e-06,3.707075549704048e-07,1170.7153344792516
566,lower,0.16071233099999999,-0.002541949555,0.0005932999999999911,-3.834864111538272e-06,3.6152476635042346e-07,1144.6755925964867
567,lower,0.161305455,-0.002557668935,0.0005933650000000124,-3.7949227167150463e-06,3.52331644364357e-07,1118.5901845489661
568,lower,0.1618986395,-0.0025735552,0.0005934290000000064,-3.75462500095181e-06,3.431281034432061e-07,1092.4588846832735
569,lower,0.1624918845,-0.002589609755,0.0005934959999999989,-3.713970646915238e-06,3.339139950991726e-07,1066.2812888738572
570,lower,0.16308519049999998,-0.002605833995,0.000593559999999993,-3.6729597461824586e-06,3.2468926308630054e-07,1040.0572551582925
571,lower,0.16367855850000002,-0.00262222931,0.0005936279999999849,-3.631591907259742e-06,3.154537415426241e-07,1013.7863301815345
572,lower,0.164271988,-0.002638797065,0.0005936930000000062,-3.5898672237764276e-06,3.062073725844229e-07,987.4683678152626
573,lower,0.16486547899999998,-0.00265553861,0.0005937609999999982,-3.5477853694503987e-06,2.969500040954807e-07,961.102953996091
574,lower,0.1654590325,-0.0026724552900000004,0.0005938290000000179,-3.505346226452565e-06,2.8768152979870504e-07,934.6898052167255
575,lower,0.166052649,-0.00268954844,0.0005938959999999827,-3.462549748704702e-06,2.784018582135031e-07,908.2286803466508
576,lower,0.166646328,-0.002706819375,0.0005939650000000019,-3.419395674231032e-06,2.691108501669812e-07,881.7192024727469
577,lower,0.1672400705,-0.00272426939,0.0005940329999999938,-3.375883956630676e-06,2.598084125559414e-07,855.161126213495
578,lower,0.16783387700000002,-0.0027418997800000003,0.000594102000000013,-3.3320144032904013e-06,2.5049442016878366e-07,828.5541147277761
579,lower,0.16842774700000002,-0.002759711825,0.0005941720000000039,-3.287786820099397e-06,2.4116874694313967e-07,801.8978288758431
580,lower,0.16902168150000002,-0.002777706785,0.0005942419999999948,-3.2432010855872544e-06,2.3183128168954778e-07,775.1919721407994
581,lower,0.1696156805,-0.002795885915,0.0005943129999999852,-3.198257002646429e-06,2.2248189670285662e-07,748.4362009388714
582,lower,0.17020974449999998,-0.00281425045,0.0005943830000000039,-3.152954524511755e-06,2.1312049494964422e-07,721.6302596137934
583,lower,0.17080387349999998,-0.002832801615,0.000594454000000022,-3.1072934525630447e-06,2.0374694714778067e-07,694.7738003873814
584,lower,0.17139806800000001,-0.00285154063,0.0005945259999999841,-3.061273586086618e-06,1.9436112319440954e-07,667.866473229933
585,lower,0.1719923285,-0.0028704686950000004,0.0005945970000000023,-3.014894878275233e-06,1.849629237883586e-07,640.9080165654505
586,lower,0.172586655,-0.0028895869950000003,0.0005946709999999911,-2.9681569697121187e-06,1.755521856398251e-07,613.8979854345736
587,lower,0.173181048,-0.002908896705,0.0005947420000000092,-2.9210599704532818e-06,1.6612883961243983e-07,586.8362052083277
588,lower,0.17377550749999998,-0.002928398995,0.000594815999999998,-2.873603517189602e-06,1.5669272082334993e-07,559.7222265660866
589,lower,0.174370034,-0.002948095015,0.0005948900000000146,-2.8257874820834406e-06,1.4724371113817635e-07,532.5557345344795
590,lower,0.1749646275,-0.0029679859,0.0005949629999999761,-2.77761181825483e-06,1.3778170760776504e-07,505.33645801455623
591,lower,0.175559289,-0.00298807278,0.0005950380000000199,-2.7290762352962664e-06,1.2830655885675908e-07,478.06398675931763
592,lower,0.1761540185,-0.003008356775,0.000595111999999981,-2.680180685702776e-06,1.1881816051031559e-07,450.73804591677776
593,lower,0.176748816,-0.0030288389900000002,0.0005951880000000243,-2.6309248754682858e-06,1.0931635965989508e-07,423.35822105031275
594,lower,0.177343682,-0.00304952051,0.0005952629999999848,-2.581308756759591e-06,9.980105053816118e-08,395.92423365709965
595,lower,0.1779386165,-0.0030704024150000004,0.0005953390000000003,-2.5313321156196075e-06,9.027209474014749e-08,368.4357113485173
596,lower,0.17853362,-0.00309148578,0.0005954150000000158,-2.480994820534656e-06,8.072936913949854e-08,340.8923259320406
597,lower,0.179128693,-0.0031127716600000003,0.0005954919999999753,-2.430296654540982e-06,7.117273388738222e-08,313.29370109355983
598,lower,0.17971312350000002,-0.00313387248,0.0005741310000000055,-2.381081551856593e-06,6.194679177213725e-08,286.6358457151561
600,spar,0.18,-0.0030058574499999997,0.000276844298,-2.357270752390196e-06,5.753350955439599e-08,273.86981501108517
601,spar,0.18,-0.00272901315,0.000276844299,-2.3334599528377907e-06,5.3196870086878986e-08,261.30377779503794
602,spar,0.18,-0.0024521688500000003,0.00027684429800000005,-2.3096491533713936e-06,4.893687340091533e-08,248.93773415779512
603,spar,0.18,-0.002175324555,0.00027684429499999995,-2.28583835416302e-06,4.475351952478882e-08,236.7716841821907
604,spar,0.18,-0.00189848026,0.00027684429999999993,-2.2620275545246072e-06,4.06468083381663e-08,224.8056275181059
605,spar,0.18,-0.00162163596,0.00027684430000000015,-2.2382167548861943e-06,3.661673991798627e-08,213.03956438888
