index,s,x_centroidal,y_centroidal,q_s
165,0.102005533,-0.0153107069,0.0206026213,-7992.8658
166,0.102636687,-0.015940355,0.0205590402,-8051.71254
167,0.103267922,-0.0165699717,0.0205138698,-8110.47746
168,0.103899238,-0.0171995535,0.0204671044,-8169.15615
169,0.104530637,-0.0178290972,0.0204187378,-8227.74418
170,0.10516212,-0.0184585992,0.020368764,-8286.2371
171,0.105793687,-0.0190880559,0.0203171765,-8344.63044
172,0.10642534,-0.019717464,0.0202639692,-8402.91973
173,0.10705708,-0.0203468196,0.0202091355,-8461.10045
174,0.107688908,-0.0209761193,0.020152669,-8519.16807
175,0.108320825,-0.0216053594,0.020094563,-8577.11807
176,0.108952832,-0.022234536,0.0200348108,-8634.94586
177,0.109584932,-0.0228636455,0.0199734055,-8692.64687
178,0.110217124,-0.023492684,0.0199103401,-8750.21648
179,0.11084941,-0.0241216477,0.0198456076,-8807.65008
180,0.111481791,-0.0247505325,0.0197792008,-8864.94301
181,0.112114269,-0.0253793346,0.0197111123,-8922.09059
182,0.112746844,-0.0260080499,0.0196413347,-8979.08815
183,0.113379519,-0.0266366744,0.0195698604,-9035.93096
184,0.114012294,-0.0272652039,0.0194966817,-9092.61429
185,0.114645171,-0.0278936342,0.0194217907,-9149.13337
186,0.115278151,-0.0285219611,0.0193451795,-9205.48341
187,0.115911236,-0.0291501803,0.0192668398,-9261.65962
188,0.116544427,-0.0297782873,0.0191867635,-9317.65713
189,0.117177725,-0.0304062779,0.019104942,-9373.47112
190,0.117811133,-0.0310341475,0.0190213667,-9429.09669
191,0.118444651,-0.0316618915,0.0189360288,-9484.52892
192,0.119078281,-0.0322895053,0.0188489194,-9539.76287
193,0.119712025,-0.0329169843,0.0187600293,-9594.7936
194,0.120345884,-0.0335443236,0.0186693493,-9649.61609
195,0.12097986,-0.0341715185,0.0185768697,-9704.22533
196,0.121613955,-0.034798564,0.0184825809,-9758.61627
197,0.122248171,-0.0354254551,0.018386473,-9812.78383
198,0.122882509,-0.0360521869,0.0182885357,-9866.72291
199,0.123516971,-0.0366787541,0.0181887589,-9920.42836
200,0.124151558,-0.0373051515,0.0180871318,-9973.89502
201,0.124786274,-0.0379313738,0.0179836436,-10027.1177
202,0.12542112,-0.0385574156,0.0178782834,-10080.0911
203,0.126056098,-0.0391832715,0.0177710397,-10132.81
204,0.12669121,-0.0398089357,0.017661901,-10185.2692
205,0.127326458,-0.0404344027,0.0175508554,-10237.4631
